	gene_name	gene_symbol	ENSEMBL.tag	logFC	logCPM	LR	PValue	FDR
ENSMUSG00000027966	collagen, type XI, alpha 1	ENSMUSG00000027966	Col11a1	4.29639452968143	4.12763909674778	83.0886031290735	7.84567259006642e-20	1.04151303633132e-15
ENSMUSG00000031274	collagen, type IV, alpha 5	ENSMUSG00000031274	Col4a5	3.13004361957301	3.60123564617923	75.0047908396176	4.69573228818601e-18	3.11679230628346e-14
ENSMUSG00000001506	collagen, type I, alpha 1	ENSMUSG00000001506	Col1a1	3.18807408684539	8.80873699309753	74.1114890278724	7.38273977312012e-18	3.26686234960565e-14
ENSMUSG00000029661	collagen, type I, alpha 2	ENSMUSG00000029661	Col1a2	2.87491325808279	8.67656071221178	68.8929493957467	1.03955810243396e-16	3.4500334524527e-13
ENSMUSG00000022483	collagen, type II, alpha 1	ENSMUSG00000022483	Col2a1	4.93759789382851	5.82431769607338	68.3681806925388	1.35648821517222e-16	3.60147621128225e-13
ENSMUSG00000040998	nephronectin	ENSMUSG00000040998	Npnt	2.17194573240728	5.08872328679029	53.0720824370041	3.21529918857648e-13	7.11384945472547e-10
ENSMUSG00000028364	tenascin C	ENSMUSG00000028364	Tnc	3.21096577669396	4.18162227763495	51.796757314621	6.1553383239133e-13	1.16731594642784e-09
ENSMUSG00000006342	sushi domain containing 2	ENSMUSG00000006342	Susd2	2.21113753472109	5.51416938963632	47.1334096453289	6.63156024645603e-12	1.1004245283963e-08
ENSMUSG00000027570	collagen, type IX, alpha 3	ENSMUSG00000027570	Col9a3	3.96544823899456	4.32650759999661	46.4240662797559	9.52385523933552e-12	1.40476864780199e-08
ENSMUSG00000034687	Fraser extracellular matrix complex subunit 1	ENSMUSG00000034687	Fras1	2.80606422399335	3.15984381651475	42.2164554025588	8.17095866434807e-11	1.08469476269221e-07
ENSMUSG00000036596	carboxypeptidase Z	ENSMUSG00000036596	Cpz	3.3721781526494	2.53660703575597	41.8904014730141	9.6535359983106e-11	1.16500627615976e-07
ENSMUSG00000022371	collagen, type XIV, alpha 1	ENSMUSG00000022371	Col14a1	2.29645140369298	3.93935811379638	41.2821521992386	1.31766528671561e-10	1.45766722342915e-07
ENSMUSG00000041559	fibromodulin	ENSMUSG00000041559	Fmod	2.0591089847591	3.85133532720723	40.8249325488638	1.66495282720038e-10	1.70017298316039e-07
ENSMUSG00000001119	collagen, type VI, alpha 1	ENSMUSG00000001119	Col6a1	1.90714116281002	3.5168812107179	39.8822796612097	2.69739297668785e-10	2.55770655468081e-07
ENSMUSG00000024330	collagen, type XI, alpha 2	ENSMUSG00000024330	Col11a2	2.89985259850005	2.7156865581586	38.338854786599	5.9466747138595e-10	5.10117862934101e-07
ENSMUSG00000028626	collagen, type IX, alpha 2	ENSMUSG00000028626	Col9a2	3.61654503389647	6.48988152678101	38.1798194936795	6.4516219347043e-10	5.10117862934101e-07
ENSMUSG00000031273	collagen, type IV, alpha 6	ENSMUSG00000031273	Col4a6	3.66376464289415	2.07880123072815	38.1554856654089	6.53258280216928e-10	5.10117862934101e-07
ENSMUSG00000073418	complement component 4B (Chido blood group)	ENSMUSG00000073418	C4b	3.63257577710002	4.83424201189266	37.8968267246255	7.45864597660617e-10	5.50075140774705e-07
ENSMUSG00000055653	glypican 3	ENSMUSG00000055653	Gpc3	2.76137002933216	7.44294459634936	35.5381544790515	2.50103339689598e-09	1.74743254441022e-06
ENSMUSG00000001435	collagen, type XVIII, alpha 1	ENSMUSG00000001435	Col18a1	1.56111154967596	5.51166065382396	35.3541320164759	2.74884771633518e-09	1.82454767171748e-06
ENSMUSG00000022824	mucin 13, epithelial transmembrane	ENSMUSG00000022824	Muc13	2.08765803904073	5.07717934738753	35.257044394038	2.88935094258028e-09	1.82648256013111e-06
ENSMUSG00000039787	cerebral endothelial cell adhesion molecule	ENSMUSG00000039787	Cercam	2.06247744248707	4.50857090406917	34.8762177767738	3.51346367983368e-09	2.12005592499055e-06
ENSMUSG00000037206	immunoglobulin superfamily containing leucine-rich repeat	ENSMUSG00000037206	Islr	2.71418387004211	3.59413300760591	34.5329900317698	4.1908785957992e-09	2.41886579822758e-06
ENSMUSG00000059481	plasminogen	ENSMUSG00000059481	Plg	3.03247913630458	4.52483471890694	33.5760064090531	6.85329101587434e-09	3.79072659315549e-06
ENSMUSG00000019817	pleiomorphic adenoma gene-like 1	ENSMUSG00000019817	Plagl1	1.33006375394074	7.25439145325029	32.9763471960534	9.3286914279527e-09	4.95353514824288e-06
ENSMUSG00000026639	laminin, beta 3	ENSMUSG00000026639	Lamb3	2.32178081433672	4.80490201484206	32.7891439201091	1.02716890801191e-08	5.24448740533003e-06
ENSMUSG00000002980	basal cell adhesion molecule	ENSMUSG00000002980	Bcam	1.72199385219732	5.4067812823721	32.6636181618102	1.09569033737793e-08	5.38714415877482e-06
ENSMUSG00000022865	coxsackie virus and adenovirus receptor	ENSMUSG00000022865	Cxadr	1.91237409950708	3.91424358238121	32.57785288729	1.14512224449181e-08	5.4291063555817e-06
ENSMUSG00000040703	cytochrome P450, family 2, subfamily s, polypeptide 1	ENSMUSG00000040703	Cyp2s1	1.48441361888728	4.88823198297266	32.1830530267394	1.40309272742534e-08	6.42277791605908e-06
ENSMUSG00000037016	Fras1 related extracellular matrix protein 2	ENSMUSG00000037016	Frem2	1.75734803585686	3.20743867939876	31.2523587461388	2.26572030893179e-08	1.00258123670232e-05
ENSMUSG00000021763	chondroitin sulfate proteoglycan 4B	ENSMUSG00000021763	Cspg4b	2.55393074644916	2.114441674315	30.791794094147	2.87249984285964e-08	1.2300785617407e-05
ENSMUSG00000022665	coiled-coil domain containing 80	ENSMUSG00000022665	Ccdc80	1.91576002181845	3.2136403955497	30.4445705357547	3.43543500073952e-08	1.42516873858804e-05
ENSMUSG00000021236	ectonucleoside triphosphate diphosphohydrolase 5	ENSMUSG00000021236	Entpd5	1.60715525363314	5.01619728799334	30.0693676929378	4.16864258339695e-08	1.67693122104832e-05
ENSMUSG00000020241	collagen, type VI, alpha 2	ENSMUSG00000020241	Col6a2	1.60698987697324	3.24642386479384	29.3919602461418	5.91224099230826e-08	2.30838232861447e-05
ENSMUSG00000035000	dipeptidylpeptidase 4	ENSMUSG00000035000	Dpp4	2.11462218571082	4.03839206803916	29.2695689594737	6.2976988351772e-08	2.3886272010565e-05
ENSMUSG00000022149	complement component 9	ENSMUSG00000022149	C9	2.88880791221347	3.57310175296513	27.7718529850566	1.36497610694184e-07	5.03334939434803e-05
ENSMUSG00000090124	UDP glucuronosyltransferase 1 family, polypeptide A7C	ENSMUSG00000090124	Ugt1a7c	2.56520396592098	4.29650736514792	27.1860664732842	1.84785613963469e-07	6.62980817666229e-05
ENSMUSG00000000049	apolipoprotein H	ENSMUSG00000000049	Apoh	3.24843688079851	4.18301014470153	26.8194714815029	2.23375275976013e-07	7.72696939124449e-05
ENSMUSG00000029718	procollagen C-endopeptidase enhancer protein	ENSMUSG00000029718	Pcolce	1.69919469399097	3.68367186929295	26.7883049449377	2.27007010364245e-07	7.72696939124449e-05
ENSMUSG00000030895	hemopexin	ENSMUSG00000030895	Hpx	2.72827766022272	4.06199186655497	26.6812978662874	2.39932637447178e-07	7.96276440527822e-05
ENSMUSG00000040152	thrombospondin 1	ENSMUSG00000040152	Thbs1	1.67658977437761	6.85899968662536	26.6203389159737	2.4762321102267e-07	8.01755640567303e-05
